customer_state,delivery_delay
AC,20.725
AL,8.707808564231739
AM,19.56551724137931
AP,19.686567164179106
BA,10.79453316953317
CE,10.795774647887324
DF,12.048076923076923
ES,10.496240601503759
GO,12.185487991824221
MA,9.546089385474861
MG,13.237491190979563
MS,11.052781740370898
MT,14.363431151241535
PA,14.066596194503171
PB,13.261121856866538
PE,13.293785310734464
PI,11.306722689075631
PR,13.314239284988828
RJ,11.765767954011821
RN,13.649789029535865
RO,20.102880658436213
RR,17.29268292682927
RS,13.908274054661176
SC,11.508316887510572
SE,10.02089552238806
SP,11.075526686260465
TO,12.13138686131387
